003.086.239.220 - 003.086.239.220 , 100 , CPBL
003.086.250.116 - 003.086.250.116 , 100 , CPBL
003.087.052.046 - 003.087.052.046 , 100 , CPBL
003.087.186.057 - 003.087.186.057 , 100 , CPBL
003.087.196.069 - 003.087.196.069 , 100 , CPBL
003.088.155.051 - 003.088.155.051 , 100 , CPBL
003.088.203.046 - 003.088.203.046 , 100 , CPBL
003.089.113.104 - 003.089.113.104 , 100 , CPBL
003.089.170.186 - 003.089.170.186 , 100 , CPBL
003.089.176.255 - 003.089.176.255 , 100 , CPBL
003.089.209.040 - 003.089.209.040 , 100 , CPBL
003.089.231.206 - 003.089.231.206 , 100 , CPBL
003.090.073.206 - 003.090.073.206 , 100 , CPBL
003.090.104.012 - 003.090.104.012 , 100 , CPBL
003.091.012.103 - 003.091.012.103 , 100 , CPBL
003.091.151.163 - 003.091.151.163 , 100 , CPBL
003.091.159.225 - 003.091.159.225 , 100 , CPBL
003.091.175.250 - 003.091.175.250 , 100 , CPBL
003.093.051.039 - 003.093.051.039 , 100 , CPBL
003.093.076.026 - 003.093.076.026 , 100 , CPBL
003.093.081.046 - 003.093.081.046 , 100 , CPBL
003.093.098.099 - 003.093.098.099 , 100 , CPBL
003.093.163.167 - 003.093.163.167 , 100 , CPBL
003.093.211.016 - 003.093.211.016 , 100 , CPBL
003.094.040.182 - 003.094.040.182 , 100 , CPBL
003.094.102.045 - 003.094.102.045 , 100 , CPBL
003.094.156.104 - 003.094.156.104 , 100 , CPBL
003.094.186.181 - 003.094.186.181 , 100 , CPBL
003.094.199.128 - 003.094.199.128 , 100 , CPBL
003.095.005.114 - 003.095.005.114 , 100 , CPBL
003.095.056.199 - 003.095.056.199 , 100 , CPBL
003.095.169.233 - 003.095.169.233 , 100 , CPBL
003.095.176.169 - 003.095.176.169 , 100 , CPBL
003.096.062.180 - 003.096.062.180 , 100 , CPBL
003.096.144.093 - 003.096.144.093 , 100 , CPBL
003.101.018.171 - 003.101.018.171 , 100 , CPBL
003.101.039.211 - 003.101.039.211 , 100 , CPBL
